연령별,기준년도,사고유형,구분,구분값
31~40세,2020,차대사람,사망자수[명],150
31~40세,2020,차대사람,부상자수[명],5350
31~40세,2020,차대차,사고건수[건],25344
31~40세,2020,차대차,사망자수[명],157
31~40세,2020,차대차,부상자수[명],40395
31~40세,2020,차량단독,사고건수[건],1087
31~40세,2020,차량단독,사망자수[명],76
31~40세,2020,차량단독,부상자수[명],1177
31~40세,2021,차대사람,사고건수[건],4925
31~40세,2021,차대사람,사망자수[명],135
31~40세,2021,차대사람,부상자수[명],5082
31~40세,2021,차대차,사고건수[건],24491
31~40세,2021,차대차,사망자수[명],144
31~40세,2021,차대차,부상자수[명],38258
31~40세,2021,차량단독,사고건수[건],888
31~40세,2021,차량단독,사망자수[명],71
31~40세,2021,차량단독,부상자수[명],936
31~40세,2022,차대사람,사고건수[건],4915
31~40세,2022,차대사람,사망자수[명],113
31~40세,2022,차대사람,부상자수[명],5048
31~40세,2022,차대차,사고건수[건],22620
31~40세,2022,차대차,사망자수[명],142
31~40세,2022,차대차,부상자수[명],35323
31~40세,2022,차량단독,사고건수[건],866
31~40세,2022,차량단독,사망자수[명],61
31~40세,2022,차량단독,부상자수[명],915
31~40세,2022,철길건널목,사고건수[건],1
31~40세,2022,철길건널목,사망자수[명],1
31~40세,2022,철길건널목,부상자수[명],1
41~50세,2018,차대사람,사고건수[건],9080
41~50세,2018,차대사람,사망자수[명],307
41~50세,2018,차대사람,부상자수[명],9266
41~50세,2018,차대차,사고건수[건],31424
41~50세,2018,차대차,사망자수[명],216
41~50세,2018,차대차,부상자수[명],51971
41~50세,2018,차량단독,사고건수[건],1700
41~50세,2018,차량단독,사망자수[명],113
41~50세,2018,차량단독,부상자수[명],1900
41~50세,2019,차대사람,사고건수[건],9202
41~50세,2019,차대사람,사망자수[명],268
41~50세,2019,차대사람,부상자수[명],9396
41~50세,2019,차대차,사고건수[건],32828
41~50세,2019,차대차,사망자수[명],237
41~50세,2019,차대차,부상자수[명],54017
41~50세,2019,차량단독,사고건수[건],1739
41~50세,2019,차량단독,사망자수[명],79
41~50세,2019,차량단독,부상자수[명],2008
41~50세,2020,차대사람,사고건수[건],6698
41~50세,2020,차대사람,사망자수[명],207
41~50세,2020,차대사람,부상자수[명],6822
41~50세,2020,차대차,사고건수[건],29936
41~50세,2020,차대차,사망자수[명],200
41~50세,2020,차대차,부상자수[명],47390
41~50세,2020,차량단독,사고건수[건],1402
41~50세,2020,차량단독,사망자수[명],87
41~50세,2020,차량단독,부상자수[명],1525
41~50세,2021,차대사람,사고건수[건],6493
41~50세,2021,차대사람,사망자수[명],168
41~50세,2021,차대사람,부상자수[명],6648
41~50세,2021,차대차,사고건수[건],28807
41~50세,2021,차대차,사망자수[명],226
41~50세,2021,차대차,부상자수[명],44692
41~50세,2021,차량단독,사고건수[건],1180
41~50세,2021,차량단독,사망자수[명],100
41~50세,2021,차량단독,부상자수[명],1252
41~50세,2022,차대사람,사고건수[건],6439
41~50세,2022,차대사람,사망자수[명],161
41~50세,2022,차대사람,부상자수[명],6599
41~50세,2022,차대차,사고건수[건],26317
41~50세,2022,차대차,사망자수[명],182
41~50세,2022,차대차,부상자수[명],40529
41~50세,2022,차량단독,사고건수[건],1159
41~50세,2022,차량단독,사망자수[명],66
41~50세,2022,차량단독,부상자수[명],1261
51~60세,2018,차대사람,사고건수[건],11279
51~60세,2018,차대사람,사망자수[명],384
51~60세,2018,차대사람,부상자수[명],11452
51~60세,2018,차대차,사고건수[건],39641
51~60세,2018,차대차,사망자수[명],374
51~60세,2018,차대차,부상자수[명],65474
51~60세,2018,차량단독,사고건수[건],2710
51~60세,2018,차량단독,사망자수[명],181
51~60세,2018,차량단독,부상자수[명],3190
51~60세,2018,철길건널목,사고건수[건],1
51~60세,2018,철길건널목,사망자수[명],1
51~60세,2018,철길건널목,부상자수[명],0
51~60세,2019,차대사람,사고건수[건],11304
51~60세,2019,차대사람,사망자수[명],347
51~60세,2019,차대사람,부상자수[명],11517
51~60세,2019,차대차,사고건수[건],41735
51~60세,2019,차대차,사망자수[명],293
51~60세,2019,차대차,부상자수[명],68237
51~60세,2019,차량단독,사고건수[건],2771
51~60세,2019,차량단독,사망자수[명],150
51~60세,2019,차량단독,부상자수[명],3312
51~60세,2019,철길건널목,사고건수[건],4
51~60세,2019,철길건널목,사망자수[명],0
51~60세,2019,철길건널목,부상자수[명],10
51~60세,2020,차대사람,사고건수[건],8836
51~60세,2020,차대사람,사망자수[명],282
51~60세,2020,차대사람,부상자수[명],8946
51~60세,2020,차대차,사고건수[건],39334
51~60세,2020,차대차,사망자수[명],291
51~60세,2020,차대차,부상자수[명],62296
51~60세,2020,차량단독,사고건수[건],2251
51~60세,2020,차량단독,사망자수[명],142
51~60세,2020,차량단독,부상자수[명],2461
51~60세,2021,차대사람,사고건수[건],8195
51~60세,2021,차대사람,사망자수[명],264
51~60세,2021,차대사람,부상자수[명],8300
51~60세,2021,차대차,사고건수[건],36779
51~60세,2021,차대차,사망자수[명],257
51~60세,2021,차대차,부상자수[명],56770
51~60세,2021,차량단독,사고건수[건],1964
51~60세,2021,차량단독,사망자수[명],118
51~60세,2021,차량단독,부상자수[명],2198
51~60세,2022,차대사람,사고건수[건],8437
51~60세,2022,차대사람,사망자수[명],232
51~60세,2022,차대사람,부상자수[명],8598
51~60세,2022,차대차,사고건수[건],34276
51~60세,2022,차대차,사망자수[명],242
51~60세,2022,차대차,부상자수[명],52987
51~60세,2022,차량단독,사고건수[건],1867
51~60세,2022,차량단독,사망자수[명],96
51~60세,2022,차량단독,부상자수[명],2044
51~60세,2022,철길건널목,사고건수[건],1
51~60세,2022,철길건널목,사망자수[명],0
51~60세,2022,철길건널목,부상자수[명],3
61~64세,2018,차대사람,사고건수[건],3773
61~64세,2018,차대사람,사망자수[명],127
61~64세,2018,차대사람,부상자수[명],3821
61~64세,2018,차대차,사고건수[건],13434
61~64세,2018,차대차,사망자수[명],129
61~64세,2018,차대차,부상자수[명],22298
61~64세,2018,차량단독,사고건수[건],887
61~64세,2018,차량단독,사망자수[명],74
61~64세,2018,차량단독,부상자수[명],1017
61~64세,2018,철길건널목,사고건수[건],1
61~64세,2018,철길건널목,사망자수[명],0
61~64세,2018,철길건널목,부상자수[명],6
61~64세,2019,차대사람,사고건수[건],3987
61~64세,2019,차대사람,사망자수[명],140
61~64세,2019,차대사람,부상자수[명],4052
61~64세,2019,차대차,사고건수[건],14986
61~64세,2019,차대차,사망자수[명],107
61~64세,2019,차대차,부상자수[명],24432
61~64세,2019,차량단독,사고건수[건],874
61~64세,2019,차량단독,사망자수[명],58
61~64세,2019,차량단독,부상자수[명],1029
61~64세,2020,차대사람,사고건수[건],3149
61~64세,2020,차대사람,사망자수[명],103
61~64세,2020,차대사람,부상자수[명],3196
61~64세,2020,차대차,사고건수[건],14308
61~64세,2020,차대차,사망자수[명],130
61~64세,2020,차대차,부상자수[명],22263
61~64세,2020,차량단독,사고건수[건],717
61~64세,2020,차량단독,사망자수[명],47
61~64세,2020,차량단독,부상자수[명],778
61~64세,2020,철길건널목,사고건수[건],1
61~64세,2020,철길건널목,사망자수[명],1
61~64세,2020,철길건널목,부상자수[명],0
61~64세,2021,차대사람,사고건수[건],3212
61~64세,2021,차대사람,사망자수[명],111
61~64세,2021,차대사람,부상자수[명],3240
61~64세,2021,차대차,사고건수[건],14615
61~64세,2021,차대차,사망자수[명],105
61~64세,2021,차대차,부상자수[명],22684
61~64세,2021,차량단독,사고건수[건],751
61~64세,2021,차량단독,사망자수[명],62
61~64세,2021,차량단독,부상자수[명],852
61~64세,2022,차대사람,사고건수[건],3634
61~64세,2022,차대사람,사망자수[명],100
61~64세,2022,차대사람,부상자수[명],3694
61~64세,2022,차대차,사고건수[건],14682
61~64세,2022,차대차,사망자수[명],129
61~64세,2022,차대차,부상자수[명],22915
61~64세,2022,차량단독,사고건수[건],844
61~64세,2022,차량단독,사망자수[명],68
61~64세,2022,차량단독,부상자수[명],957
65세이상,2018,차대사람,사고건수[건],5836
65세이상,2018,차대사람,사망자수[명],206
65세이상,2018,차대사람,부상자수[명],6002
65세이상,2018,차대차,사고건수[건],22504
