연령별,전체
35,"664,457"
36,"683,582"
37,"713,020"
38,"728,615"
39,"834,469"
40,"919,266"
41,"941,775"
42,"952,923"
43,"961,706"
44,"862,421"
45,"953,480"
46,"960,579"
47,"1,004,942"
48,"1,100,991"
49,"1,142,115"
50,"1,136,527"
51,"1,183,255"
52,"1,136,858"
53,"1,129,978"
54,"1,122,597"
55,"1,031,754"
56,"972,975"
57,"1,000,096"
58,"971,191"
59,"916,452"
60,"999,512"
61,"1,009,901"
62,"998,455"
63,"903,606"
64,"813,086"
65,"785,010"
66,"687,214"
67,"684,582"
68,"561,216"
69,"462,844"
70,"481,028"
71,"321,139"
72,"319,856"
73,"296,022"
74,"270,855"
75,"246,852"
76,"180,665"
77,"141,862"
78,"127,272"
79,"108,416"
80,"113,638"
81,"81,152"
82,"59,318"
83,"50,536"
84,"37,959"
85,"28,873"
86,"21,778"
87,"16,342"
88,"11,557"
89,"7,654"
90,"5,589"
91,"3,578"
92,"2,417"
93,"2,099"
94,"1,299"
95,912
96,540
97,355
98,319
99 이상,"1,124"
