연령별,기준년도,법규위반내용,사고건수
21~30세,2022,안전거리미확보,2635
21~30세,2022,일시정지위반,121
21~30세,2022,부당한회전,171
21~30세,2022,우선권양보불이행,1
21~30세,2022,진로양보불이행,5
21~30세,2022,안전운전의무불이행,15094
21~30세,2022,교차로운행방법위반,1402
21~30세,2022,보행자보호의무위반,788
21~30세,2022,차로위반(진로변경),317
21~30세,2022,직진우회전진행방해,820
21~30세,2022,기타,799
21~30세,2022,정비불량,1
31~40세,2018,과속,186
31~40세,2018,앞지르기방법위반,10
31~40세,2018,앞지르기금지위반,41
31~40세,2018,중앙선침범,1398
31~40세,2018,신호위반,3652
31~40세,2018,안전거리미확보,3178
31~40세,2018,일시정지위반,91
31~40세,2018,부당한회전,175
31~40세,2018,우선권양보불이행,3
31~40세,2018,진로양보불이행,7
31~40세,2018,안전운전의무불이행,19455
31~40세,2018,교차로운행방법위반,2108
31~40세,2018,보행자보호의무위반,1198
31~40세,2018,차로위반(진로변경),609
31~40세,2018,직진우회전진행방해,994
31~40세,2018,긴급차피양의무위반,1
31~40세,2018,기타,511
31~40세,2018,정비불량,1
31~40세,2019,과속,226
31~40세,2019,앞지르기방법위반,25
31~40세,2019,앞지르기금지위반,56
31~40세,2019,중앙선침범,1335
31~40세,2019,신호위반,4052
31~40세,2019,안전거리미확보,3576
31~40세,2019,일시정지위반,97
31~40세,2019,부당한회전,189
31~40세,2019,우선권양보불이행,3
31~40세,2019,진로양보불이행,6
31~40세,2019,안전운전의무불이행,19704
31~40세,2019,교차로운행방법위반,2310
31~40세,2019,보행자보호의무위반,1227
31~40세,2019,차로위반(진로변경),519
31~40세,2019,직진우회전진행방해,1119
31~40세,2019,철길건널목통과방법,1
31~40세,2019,기타,530
31~40세,2019,정비불량,3
31~40세,2020,과속,271
31~40세,2020,앞지르기방법위반,23
31~40세,2020,앞지르기금지위반,47
31~40세,2020,중앙선침범,1193
31~40세,2020,신호위반,3628
31~40세,2020,안전거리미확보,3303
31~40세,2020,일시정지위반,115
